;Rider;WeekOfYear;mon_intensity;mon_duration;mon_hr;tue_intensity;tue_duration;tue_hr;wed_intensity;wed_duration;wed_hr;thu_intensity;thu_duration;thu_hr;fri_intensity;fri_duration;fri_hr;sat_intensity;sat_duration;sat_hr;sun_intensity;sun_duration;sun_hr;weekIntensity;weekDuration;weekHearthrate;weekOveral;bestAtlethes
"190";"Rider4";"16/2014";1;15593;102.91;2;19649;129.29;2;10777;126.53;2;9856;140.24;1;9802;97.53;2;15648;131.81;0;0;0;0.714285714285714;10.8346656008527;2.39347333136153;13.9424246464999;"good"
"169";"Rider4";"27/2014";1;10176;101.8;1;7553;108.31;2;9925;127.14;2;13571;132.29;1;5980;99.6;2;26628;121.32;1;16803;113.15;0.714285714285714;12.0751398880895;2.64093463472345;15.4303602370987;"good"
"536";"Rider3";"34/2011";0;0;0;2;9783;136.67;2;12027;137.29;0;0;0;0;0;0;2;3980;139.41;3;13092;158.5;0.642857142857143;5.18012256861178;1.8793585066877;7.70233821815662;"good"
"735";"Rider5";"29/2010";0;0;0;0;0;0;0;0;0;2;7184;136.74;0;0;0;0;0;0;0;0;0;0.142857142857143;0.957100985877964;0.449373952479543;1.54933208121465;"bad"
"677";"Rider5";"24/2009";0;0;0;1;7496;115.12;2;4717;133.17;0;0;0;2;7645;118.56;0;0;0;3;5561;172.25;0.571428571428571;3.38649080735412;1.77166518781426;5.72958456659694;"good"
"167";"Rider2";"27/2014";0;0;0;0;0;0;1;6727;112.01;1;5514;97.22;0;0;0;1;12835;112.1;1;6229;91.66;0.285714285714286;4.17066346922462;1.35722501561011;5.81360277054901;"good"
"737";"Rider5";"14/2009";0;0;0;0;0;0;0;0;0;0;0;0;2;17360;124.93;2;28848;128.07;0;0;0;0.285714285714286;6.15614175326406;0.831443688586546;7.27329972756489;"good"
"346";"Rider5";"6/2014";0;0;0;0;0;0;0;0;0;2;4568;137.24;2;5003;134.26;0;0;0;2;6107;134.32;0.428571428571429;2.08872901678657;1.33366196720234;3.85096241256034;"bad"
"486";"Rider3";"11/2012";0;0;0;0;0;0;2;7789;132.28;2;11620;123.41;2;7479;128.23;2;16843;122.46;1;10706;109.32;0.642857142857143;7.25246469491074;2.02339873147327;9.91872056924115;"good"
"732";"Rider5";"7/2009";0;0;0;0;0;0;2;11036;137.07;0;0;0;0;0;0;0;0;0;0;0;0;0.142857142857143;1.47029043431921;0.450458444247264;2.06360602142362;"bad"
"580";"Rider3";"24/2012";2;7335;131.36;0;0;0;0;0;0;2;7429;134.23;2;6039;138.67;2;13167;132.95;2;13680;128.02;0.714285714285714;6.34825472954969;2.1861710867922;9.24871153062761;"good"
"707";"Rider5";"24/2011";0;0;0;0;0;0;2;6513;122.89;0;0;0;2;3948;133.48;0;0;0;0;0;0;0.285714285714286;1.39368505195843;0.842518649972066;2.52191798764479;"bad"
"326";"Rider7";"46/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5906;136.26;2;6265;138.23;0.285714285714286;1.62150279776179;0.902067107036051;2.80928419051213;"bad"
"745";"Rider5";"37/2010";2;6302;129.26;0;0;0;0;0;0;2;4507;137.02;0;0;0;0;0;0;0;0;0;0.285714285714286;1.4400479616307;0.875086266390614;2.6008485137356;"bad"
"133";"Rider4";"29/2012";0;0;0;2;12839;128.48;1;2673;111.72;1;9860;116.57;1;8546;111.63;0;0;0;0;0;0;0.357142857142857;4.51878497202238;1.53932104242663;6.41524887159187;"good"
"78";"Rider2";"17/2014";2;11893;130.24;0;0;0;1;6795;117.11;1;5218;104.28;0;0;0;1;12338;80.99;1;3421;100.27;0.428571428571429;5.28443911537437;1.75125702454895;7.46426756849475;"good"
"178";"Rider1";"26/2013";0;0;0;0;0;0;3;14315;142.27;1;7872;108.61;0;0;0;0;0;0;0;0;0;0.285714285714286;2.95590194511058;0.824476650563607;4.06609288138847;"bad"
"704";"Rider4";"38/2011";0;0;0;0;0;0;0;0;0;0;0;0;2;5880;122.31;1;16089;93.2;0;0;0;0.214285714285714;2.92685851318945;0.708238851095994;3.84938307857116;"bad"
"659";"Rider3";"18/2012";0;0;0;2;6488;139.36;1;9362;117.48;0;0;0;0;0;0;0;0;0;0;0;0;0.214285714285714;2.11164401811884;0.844063229156397;3.16999296156095;"bad"
"733";"Rider5";"49/2010";0;0;0;2;7760;133.41;2;7016;140.04;0;0;0;0;0;0;0;0;0;3;5068;164.08;0.5;2.6437516653344;1.43787176706431;4.58162343239871;"bad"
"479";"Rider3";"34/2013";0;0;0;2;5455;131.68;2;8931;124.54;2;6557;132.42;0;0;0;0;0;0;0;0;0;0.428571428571429;2.79016786570743;1.27720266850702;4.49594196278588;"bad"
"567";"Rider3";"32/2013";0;0;0;2;10523;132.56;2;9320;132.13;2;34053;128.99;2;8010;130.63;0;0;0;0;0;0;0.571428571428571;8.24753530508926;1.72306023858819;10.542024115106;"good"
"453";"Rider3";"4/2015";2;4061;137.04;0;0;0;0;0;0;2;4555;138.35;0;0;0;0;0;0;0;0;0;0.285714285714286;1.14788169464428;0.90502481185711;2.33862079221568;"bad"
"652";"Rider3";"1/2012";2;11175;132.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857142857143;1.48880895283773;0.435735646915771;2.06740174261064;"bad"
"474";"Rider5";"1/2014";0;0;0;1;4988;109.32;2;5694;122.55;2;8563;127.6;2;3892;130.91;0;0;0;0;0;0;0.5;3.08246735944578;1.61155476683427;5.19402212628005;"good"
"365";"Rider6";"38/2014";0;0;0;2;3797;132.9;0;0;0;0;0;0;0;0;0;0;0;0;1;3411;114.26;0.214285714285714;0.960298427924327;0.812251470636564;1.98683561284661;"bad"
"464";"Rider3";"30/2011";2;15349;122.53;2;7415;133.53;1;13340;114.94;0;0;0;2;15035;123.32;2;18562;121.89;2;15163;127.08;0.785714285714286;11.3061550759392;2.44270268493871;14.5345720465922;"good"
"171";"Rider3";"23/2013";0;0;0;1;86529;101.58;2;116242;135.23;2;6584;127.48;0;0;0;0;0;0;0;0;0;0.357142857142857;27.8916866506795;1.19718032140392;29.4460098292262;"good"
"462";"Rider3";"10/2012";0;0;0;2;7860;132.97;2;11163;131.38;2;8667;124.55;0;0;0;0;0;0;0;0;0;0.428571428571429;3.68904876099121;1.27805711656643;5.39567730612907;"good"
"421";"Rider5";"33/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14624;156.1;0.214285714285714;1.94830802025047;0.512997469519209;2.67559120405539;"bad"
"221";"Rider5";"10/2013";0;0;0;2;10119;127.81;2;8812;122.45;0;0;0;0;0;0;0;0;0;0;0;0;0.285714285714286;2.52211564082068;0.822439120575767;3.63026904711073;"bad"
"184";"Rider1";"41/2014";0;0;0;3;8002;143.78;0;0;0;2;2378;134.58;2;17978;122.79;0;0;0;0;0;0;0.5;3.77804423128164;1.31831476551973;5.59635899680138;"good"
"338";"Rider2";"21/2014";0;0;0;2;6862;126.26;1;14145;104.06;2;7247;126.15;0;0;0;1;9288;111.22;1;10283;111.42;0.5;6.37156941113776;1.90315159880377;8.77472100994153;"good"
"286";"Rider5";"41/2013";0;0;0;2;4807;121.13;2;7281;120.8;0;0;0;0;0;0;0;0;0;0;0;0;0.285714285714286;1.61044497735145;0.795063919287522;2.69122318235326;"bad"
"136";"Rider5";"17/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7429;130.55;3;12478;143.3;0.357142857142857;2.6521449507061;0.899963850274409;3.90925165812337;"bad"
"420";"Rider3";"33/2012";2;7500;139.53;0;0;0;2;18623;132.05;3;7538;143.26;0;0;0;2;3326;132.89;3;13114;155.14;0.857142857142857;6.67479349853451;2.30986887508627;9.84180523076363;"good"
"275";"Rider7";"1/2013";0;0;0;0;0;0;0;0;0;2;7065;125.62;2;4837;126.37;2;6671;129.46;2;8942;128.53;0.571428571428571;3.66573407940314;1.67596700515955;5.91312965599127;"good"
"618";"Rider1";"47/2012";0;0;0;2;5101;138.28;2;6487;126.19;2;7385;135.41;2;5661;131.92;2;13747;121.05;2;15421;124.43;0.857142857142857;7.16786570743405;2.55440533701403;10.5794139015909;"good"
"40";"Rider3";"35/2014";0;0;0;2;4635;136.68;0;0;0;2;8179;141.07;0;0;0;2;9350;123.7;1;6322;116.81;0.5;3.79509725552891;1.70317788951329;5.9982751450422;"good"
"362";"Rider1";"31/2013";0;0;0;0;0;0;0;0;0;3;20268;184.08;0;0;0;3;2205;153.98;0;0;0;0.428571428571429;2.99400479616307;1.11097965756351;4.53355588229801;"bad"
"450";"Rider6";"6/2015";0;0;0;0;0;0;3;2240;144.54;0;0;0;0;0;0;0;0;0;0;0;0;0.214285714285714;0.298427924327205;0.475007394262053;0.987721032874972;"bad"
"388";"Rider7";"24/2013";2;6053;120.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857142857143;0.806421529443112;0.396726806664695;1.34600547896495;"bad"
"648";"Rider3";"5/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2298;131.38;0;0;0;0.142857142857143;0.306155075939249;0.431759177100792;0.880771395897183;"bad"
"669";"Rider3";"48/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10131;133.02;0;0;0;0.142857142857143;1.34972022382094;0.437148772552499;1.92972613923059;"bad"
"719";"Rider5";"5/2011";2;8357;127.09;0;0;0;0;0;0;0;0;0;2;9307;123.37;0;0;0;0;0;0;0.285714285714286;2.3533173461231;0.82309638831378;3.46212802015117;"bad"
"86";"Rider1";"34/2014";1;5693;107.74;0;0;0;2;7597;126.51;2;4463;128.16;1;2992;109.23;1;6323;114.18;2;8994;140.17;0.642857142857143;4.80442312816414;2.38584902560058;7.83312929662186;"good"
"545";"Rider4";"16/2012";0;0;0;0;0;0;2;10415;135.52;0;0;0;0;0;0;3;6356;145.23;2;12334;133.06;0.5;3.87756461497469;1.35991981333596;5.73748442831065;"good"
"246";"Rider7";"14/2013";3;4597;147.97;0;0;0;0;0;0;2;8677;120.39;0;0;0;2;9920;124.52;1;7709;105.8;0.571428571428571;4.11710631494804;1.63883137796181;6.32736626433843;"good"
"154";"Rider3";"28/2014";2;6350;133.37;0;0;0;0;0;0;0;0;0;2;5540;121.3;2;10006;120.6;2;12572;121.73;0.571428571428571;4.59205968558487;1.6333103289625;6.79679858597594;"good"
"11";"Rider4";"22/2014";2;14996;128.42;2;8596;133.22;0;0;0;1;18345;110.57;1;8970;84.63;0;0;0;0;0;0;0.428571428571429;6.78217426059153;1.50133096716948;8.71207665633243;"good"
"747";"Rider5";"13/2010";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;19997;139.82;2;5929;129.3;0.285714285714286;3.45403677058353;0.8844194682704;4.62417052456822;"bad"
"653";"Rider5";"1/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10539;132.43;0;0;0;0.142857142857143;1.40407673860911;0.435209832725361;1.98214371419162;"bad"
"26";"Rider7";"19/2014";0;0;0;1;9027;114.66;2;8961;122.61;1;9260;116.8;1;8983;110.67;1;11326;115.7;1;3722;114.09;0.5;6.83173461231015;2.28246081041112;9.61419542272127;"good"
"256";"Rider7";"33/2013";2;172901;128.93;0;0;0;2;10174;137.45;0;0;0;0;0;0;2;8847;128.87;0;0;0;0.428571428571429;25.5691446842526;1.29892536724835;27.2966414800724;"good"
"106";"Rider4";"18/2013";1;13864;117.68;2;11302;137.81;2;16319;125.37;2;11964;128.16;1;18160;105.55;0;0;0;0;0;0;0.571428571428571;9.5402344790834;2.01968516875349;12.1313482192655;"good"
"396";"Rider2";"22/2013";0;0;0;2;8025;128.94;1;9240;107.95;0;0;0;0;0;0;1;7151;109.6;3;9989;148.92;0.5;4.58366640021316;1.6280850504453;6.71175145065846;"good"
"784";"Rider4";"43/2012";0;0;0;0;0;0;0;0;0;0;0;0;2;3484;132.59;2;5369;135.25;0;0;0;0.285714285714286;1.17945643485212;0.880212954747116;2.34538367531352;"bad"
"414";"Rider6";"43/2014";0;0;0;0;0;0;0;0;0;1;4938;94.83;2;9973;127.98;0;0;0;3;9505;159.07;0.428571428571429;3.25286437516653;1.25498701896217;4.93642282270014;"bad"
"279";"Rider4";"1/2013";3;9208;149.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.214285714285714;1.2267519317879;0.492687896414604;1.93372554248822;"bad"
"728";"Rider2";"41/2012";0;0;0;0;0;0;0;0;0;1;3486;117.67;0;0;0;2;5923;123.86;2;8380;121.58;0.357142857142857;2.36997069011458;1.19330244174965;3.92041598900708;"bad"
"243";"Rider5";"23/2014";0;0;0;0;0;0;2;9975;132.13;0;0;0;0;0;0;1;4666;102.86;1;3772;116.45;0.285714285714286;2.45310418332001;1.15495086923658;3.89376933827088;"bad"
"713";"Rider2";"49/2012";0;0;0;0;0;0;0;0;0;2;5268;118.13;0;0;0;0;0;0;0;0;0;0.142857142857143;0.701838529176659;0.388215189457425;1.23291086149123;"bad"
"645";"Rider3";"44/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3038;146.2;0;0;0;0.214285714285714;0.404742872368772;0.480462716487561;1.09949130314205;"bad"
"172";"Rider5";"23/2013";0;0;0;1;3710;95.24;0;0;0;0;0;0;0;0;0;2;5298;125.08;3;3241;152.02;0.428571428571429;1.63189448441247;1.22363534785895;3.28410126084285;"bad"
"291";"Rider7";"20/2013";2;6662;123.79;1;7525;114.1;2;6881;125.03;0;0;0;0;0;0;1;5838;113.92;2;12606;131.55;0.571428571428571;5.2640554223288;1.99937559564889;7.83485958940626;"good"
"475";"Rider1";"1/2014";2;3373;120.09;2;7157;139.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.285714285714286;1.40287769784173;0.854415196030103;2.54300717958612;"bad"
"468";"Rider2";"2/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9368;129.33;0;0;0;0.142857142857143;1.24806821209699;0.425022182786158;1.81594753774029;"bad"
"746";"Rider5";"2/2009";0;0;0;0;0;0;0;0;0;0;0;0;2;12930;134.98;3;17666;141.25;0;0;0;0.357142857142857;4.07620570210498;0.907785336356765;5.3411338956046;"good"
"87";"Rider4";"34/2014";2;12530;121.74;2;13452;130.64;1;11296;117.55;2;15008;128.58;1;3484;88.33;1;5652;115.38;0;0;0;0.642857142857143;8.18305355715428;2.30773275493772;11.1336434549491;"good"
"363";"Rider4";"31/2013";1;11073;84.88;2;12552;133.04;2;5776;126.15;1;2877;117.68;0;0;0;1;8773;101.59;0;0;0;0.5;5.46909139355183;1.85132603766144;7.82041743121327;"good"
"611";"Rider3";"48/2013";0;0;0;2;2615;137.97;2;7719;132.64;0;0;0;2;7085;130.69;0;0;0;2;8981;126.28;0.571428571428571;3.5171862509992;1.7338065661047;5.82242138853248;"good"
"166";"Rider5";"27/2014";0;0;0;2;5224;125.9;0;0;0;0;0;0;0;0;0;3;10171;163.6;0;0;0;0.357142857142857;2.05102584598988;0.951395050773933;3.35956375390667;"bad"
"122";"Rider5";"40/2014";0;0;0;1;4874;112.53;1;4809;112.92;0;0;0;0;0;0;3;6374;158.2;0;0;0;0.357142857142857;2.13922195576872;1.26080383844359;3.75716865135517;"bad"
"555";"Rider3";"5/2015";2;3297;138.3;0;0;0;0;0;0;0;0;0;0;0;0;2;9390;138.18;3;4117;145.99;0.5;2.23874233946176;1.38837950639193;4.12712184585369;"bad"
"217";"Rider1";"30/2014";2;7445;137.99;1;23789;114.62;2;17335;132.21;1;1088;112.25;1;5827;115.16;2;11066;138.7;2;13309;135.61;0.785714285714286;10.6393551825207;2.91347070229058;14.3385401705255;"good"
"7";"Rider7";"22/2014";1;4270;108.3;1;8503;116.95;0;0;0;0;0;0;1;2386;106.1;3;11258;144.14;1;3338;99.28;0.5;3.96416200373035;1.88888888888889;6.35305089261924;"good"
"229";"Rider1";"25/2014";0;0;0;0;0;0;2;19802;125.79;2;11883;122.37;2;4042;118.88;3;1559;164.92;0;0;0;0.642857142857143;4.96749267252864;1.74820072956719;7.35855054495298;"good"
"583";"Rider4";"3/2013";0;0;0;1;110;89;1;216;90.63;1;2457;97.85;2;2704;118.53;0;0;0;0;0;0;0.357142857142857;0.73101518784972;1.3014229846528;2.38958102964538;"bad"
"523";"Rider4";"37/2013";0;0;0;1;8358;116.66;1;8110;116.08;2;9441;124.3;1;83055;112.83;1;8379;95.45;0;0;0;0.428571428571429;15.6332267519318;1.85783298826777;17.919631168771;"good"
"248";"Rider2";"14/2013";3;9784;148.93;0;0;0;0;0;0;2;6342;124.7;0;0;0;2;6734;129.86;2;8280;129.11;0.642857142857143;4.14868105515588;1.75030398632883;6.54184218434185;"good"
"744";"Rider1";"47/2014";0;0;0;0;0;0;3;4161;142.49;3;3473;151.92;3;12725;145.7;2;5627;130.96;0;0;0;0.785714285714286;3.46203037569944;1.87672943573565;6.12447409714937;"good"
"90";"Rider5";"15/2013";0;0;0;0;0;0;2;7751;136.42;0;0;0;0;0;0;3;2164;170.99;0;0;0;0.357142857142857;1.32094324540368;1.010253376713;2.68833947925954;"bad"
"37";"Rider4";"31/2014";1;9487;90.23;1;8772;111.86;2;11037;121.61;2;20276;123.26;1;8969;96.88;1;9725;104.84;1;5401;99.34;0.642857142857143;9.81441513455902;2.45824706694272;12.9155193443589;"good"
"553";"Rider2";"21/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10478;122.72;0;0;0;0.142857142857143;1.39594990674127;0.403299484044826;1.94210653364324;"bad"
"700";"Rider5";"41/2009";0;0;0;0;0;0;0;0;0;0;0;0;1;439612;111;0;0;0;0;0;0;0.0714285714285714;58.5680788702372;0.364783594597259;59.004291036263;"good"
"768";"Rider5";"31/2009";0;0;0;0;0;0;0;0;0;2;5888;123.5;0;0;0;0;0;0;2;6387;135.61;0.285714285714286;1.6353583799627;0.851523217982845;2.77259588365983;"bad"
"212";"Rider7";"30/2014";0;0;0;1;10545;106.42;1;8387;113.07;1;5138;108.76;1;4884;104.71;2;5803;136.82;0;0;0;0.428571428571429;4.63056221689315;1.87249005882546;6.93162370429004;"good"
"621";"Rider3";"14/2012";2;11522;126;0;0;0;2;8053;133.16;2;7051;127.5;0;0;0;2;10893;130.94;2;9636;135.36;0.714285714285714;6.28230748734346;2.1458477110651;9.14244091269427;"good"
"392";"Rider4";"24/2013";2;491881;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857142857143;65.5317079669598;0.400933320187979;66.0754984300049;"good"
"101";"Rider7";"18/2013";2;5711;121.08;0;0;0;2;8252;118.54;1;3784;92.57;1;11791;109.45;1;5807;91.32;2;17788;134.62;0.642857142857143;7.07873701039169;2.19389398271386;9.91548813596269;"good"
"263";"Rider3";"28/2013";0;0;0;2;9665;130.34;2;6978;133.62;2;9368;128.44;0;0;0;0;0;0;0;0;0;0.428571428571429;3.46536104449774;1.28955930198166;5.18349177505083;"good"
"558";"Rider1";"5/2015";2;7345;138.53;3;7547;162.37;0;0;0;3;9144;152.32;0;0;0;2;11842;138.54;2;2996;141.15;0.857142857142857;5.17905675459632;2.40859048933583;8.44479010107501;"good"
"650";"Rider2";"5/2014";0;0;0;2;6723;126.97;0;0;0;0;0;0;0;0;0;2;10229;130.75;0;0;0;0.285714285714286;2.25845989874767;0.846955207203655;3.39112939166561;"bad"
"647";"Rider2";"44/2014";0;0;0;0;0;0;0;0;0;0;0;0;2;6144;120.34;2;4677;130.53;1;5932;112.84;0.357142857142857;2.23194777511324;1.19527424496369;3.78436487721979;"bad"
"590";"Rider3";"6/2013";0;0;0;0;0;0;0;0;0;2;9814;131.67;2;16670;131.25;2;20757;121.81;2;13311;129.89;0.571428571428571;8.06714628297362;1.69121561668145;10.3297904710836;"good"
"664";"Rider3";"2/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14313;101.26;0;0;0;0.0714285714285714;1.90687450039968;0.332774655756022;2.31107772758427;"bad"
"224";"Rider4";"10/2013";0;0;0;0;0;0;0;0;0;2;8757;135.66;2;12181;129.87;2;9623;136.4;1;746;107.57;0.5;4.17092992272848;1.67438956258832;6.3453194853168;"good"
"193";"Rider5";"9/2014";0;0;0;0;0;0;2;6908;134.52;0;0;0;0;0;0;2;5906;134.29;0;0;0;0.285714285714286;1.70716759925393;0.88340070327648;2.8762825882447;"bad"
"679";"Rider5";"22/2011";1;23583;99.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11509;129.13;0.214285714285714;4.6751931787903;0.750501166650235;5.63998005972625;"good"
"549";"Rider1";"51/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;156069;120.56;0.142857142857143;20.7925659472422;0.396200992474284;21.3316240825736;"good"
"22";"Rider3";"7/2014";0;0;0;0;0;0;2;6582;123.01;2;8460;130.78;0;0;0;2;7385;130.19;2;10988;129.74;0.571428571428571;4.45177191580069;1.6882579118604;6.71145839908966;"good"
